"Name","X1_aq.mzML","X13_aq.mzML","X133_aq.mzML","X134_aq.mzML","X135_aq.mzML","X136_aq.mzML","X140_aq.mzML","X142_aq.mzML","X143_aq.mzML","X144_aq.mzML","X146_aq.mzML","X147_aq.mzML","X148_aq.mzML","X150_aq.mzML","X161_aq.mzML","X162_aq.mzML","X164_aq.mzML","X167_aq.mzML","X168_aq.mzML","X169_aq.mzML","X170_aq.mzML","X172_aq.mzML","X173_aq.mzML","X174_aq.mzML","X175_aq.mzML","X176_aq.mzML","X16_aq.mzML","X17_aq.mzML","X18_aq.mzML","X19_aq.mzML","X20_aq.mzML","X21_aq.mzML","X22_aq.mzML","X2_aq.mzML","X23_aq.mzML","X25_aq.mzML","X26_aq.mzML","X27_aq.mzML","X29_aq.mzML","X30_aq.mzML","X31_aq.mzML","X32_aq.mzML","X33_aq.mzML","X3_aq.mzML","X35_aq.mzML","X36_aq.mzML","X40_aq.mzML","X41_aq.mzML","X42_aq.mzML","X43_aq.mzML","X45_aq.mzML","X46_aq.mzML","X5_aq.mzML","X48_aq.mzML","X49_aq.mzML","X151_aq.mzML","X152_aq.mzML","X155_aq.mzML","X156_aq.mzML","X6_aq.mzML","X51_aq.mzML","X52_aq.mzML","X53_aq.mzML","X54_aq.mzML","X56_aq.mzML","X58_aq.mzML","X59_aq.mzML","X60_aq.mzML","X61_aq.mzML","X62_aq.mzML","X7_aq.mzML","X63_aq.mzML","X66_aq.mzML","X68_aq.mzML","X69_aq.mzML","X71_aq.mzML","X73_aq.mzML","X75_aq.mzML","X76_aq.mzML","X77_aq.mzML","X78_aq.mzML","X8_aq.mzML","X80_aq.mzML","X81_aq.mzML","X82_aq.mzML","X83_aq.mzML","X84_aq.mzML","X85_aq.mzML","X86_aq.mzML","X88_aq.mzML","X90_aq.mzML","X10_aq.mzML","X93_aq.mzML","X101_aq.mzML","X103_aq.mzML","X104_aq.mzML","X107_aq.mzML","X109_aq.mzML","X112_aq.mzML","X115_aq.mzML","X11_aq.mzML","X122_aq.mzML","X123_aq.mzML","X124_aq.mzML","X125_aq.mzML","X127_aq.mzML","X128_aq.mzML","X129_aq.mzML","X130_aq.mzML","X131_aq.mzML","X132_aq.mzML"
"Dorea sp. AM10-31",0.147,0.139,0.013,0.017,0.016,0.021,0.284,0.083,0.124,0.025,0.019,0.045,0.015,0.022,0,0.011,0,0.371,0.014,0.019,0.011,0.011,0.032,0.018,0.012,0,0.074,0.033,0.104,0.044,0.339,0.096,0.012,0.296,0.123,0.035,0.084,0.14,0.025,0,0.08,0.008,0.125,0.014,0.096,0.091,0.065,0.136,0.036,0.01,0.016,0.031,0.011,0.099,0.194,0.091,0.175,0.029,0.32,0.013,0.018,0.022,0.031,0.068,0,0.069,0.008,0.046,0.012,0.011,0.083,0.541,0.022,0.201,0.088,0.064,0.364,0.019,0.116,0.036,0.011,0.012,0,0.131,0.206,0.015,0.011,0.012,0.018,0.011,0.06,0.131,0.045,0.064,0.835,0,0.098,0.051,0.053,0.017,0.064,0.097,0,0.019,0.01,0.013,0.008,0.055,0.021,0,0.013
"Dorea sp. AF36-15AT",0.096,0.139,0.115,0.087,0.016,0.01,0.021,0.051,0.008,0.151,0,0.029,0.166,0.134,0,0.008,0,0.08,0.013,0.124,0.011,0.147,0.111,0.011,0.011,0.026,0.187,0.483,0.134,0.162,0.298,0.112,0.115,0.187,0.112,0.038,0.185,0.213,0.031,0.089,0.073,0.015,0.077,0.137,0.083,0.143,0.064,0.116,0.101,0,0.023,0.042,0.028,0.115,0.135,0.217,0.208,0.284,0.236,0.075,0.135,0.013,0.012,0.045,0.07,0,0.013,0.1,0.017,0.146,0.192,0.057,0.047,0.26,0.189,0.249,0.212,0.145,0.098,0.235,0.032,0.122,0.008,0.15,0.214,0.118,0,0.033,0.024,0.063,0.059,0.22,0.117,0.007,0.193,0,0.063,0.052,0.382,0.015,0.048,0.185,0,0.026,0,0.211,0,0.051,0,0.05,0.074
"uncultured Dorea sp.",0.105,0.08,0.025,0.033,0.053,0.009,0.045,0.025,0.025,0.076,0.019,0.058,0.084,0.009,0.008,0.01,0,0.065,0.042,0.042,0.008,0.033,0.057,0.078,0.007,0.007,0.04,0.113,0.041,0.034,0.077,0.031,0.037,0.056,0.028,0.026,0.048,0.037,0.057,0.015,0.032,0.07,0.024,0.035,0.035,0.044,0.029,0.051,0.02,0.023,0.709,0.02,0.038,0.021,0.054,0.081,0.125,0.06,0.041,0.033,0.023,0.05,0.027,0.035,0.016,0,0,0.024,0.065,0.055,0.036,0.02,0.011,0.025,0.119,0.059,0.022,0.022,0.031,0.061,0.026,0.022,0,0.016,0.04,0.031,0.014,0.022,0.035,0.077,0.021,0.046,0.056,0.064,0.029,0,0.036,0.03,0.056,0.022,0.027,0.028,0.019,0.035,0.055,0.051,0.011,0.026,0.049,0.008,0.033
"Dorea sp. CAG:317",0.009,0.017,0,0,0.538,0,0.007,0,0,0,0,0.021,0.023,0,0,0,0,0,0,0.008,0,0.008,0,0.009,0,0,0,0.018,0.007,0.009,0.011,0,0,0,0,0,0.011,0,0,0,0,0,0,0.061,0,0,0,0,0,0,2.473,0,0,0.006,0,0,0.007,0,0,0.007,0,0.014,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0.009,0,0.007,0,0,0.017,0,0,0,0.012,0.019,0,0.009,0.01,0,0.015,0,0,0,0,0,0,0,0,0,0.006,0
"Dorea phocaeensis",0.007,0,0.007,0,0.008,0.031,0,0,0,0,0.007,0.095,0.01,0.016,0,0.012,0,0,0,0,0,0,0.026,0.014,0.088,0.012,0,0.014,0.012,0,0.006,0,0,0,0,0,0,0.032,0,0,0,0,0,0.024,0,0,0,0,0,0,0.019,0,0,0,0,0.009,0.01,0,0,0,0,0,0,0,0,0,0.009,0,0.009,0,0,0.032,0,0,0.008,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0.012,0.06,0.013,0,0,0,0.007,0,0,0,0,0,0,0.007,0.015,0.014,0,0,0.013
"Anaerostipes hadrus",4.033,2.958,1.612,1.648,2.641,8.679,0.535,0.662,0.251,2.428,0.579,0,3.446,0.922,0.024,0.341,0,2.362,3.141,2.39,2.732,1.669,0.639,0.399,2.663,2.081,2.875,2.875,1.562,1.746,1.374,0.736,0.712,1.365,0.421,0.164,0.237,0.637,0.781,2.053,0.981,2.386,0.62,2.275,0.208,1.161,2.449,1.758,0.948,1.09,3.202,0.355,0.981,0.996,0.466,1.112,1.553,2.318,0.692,0.716,2.512,3.178,2.603,0.195,0.292,0.053,0.007,0.104,1.35,0.54,0.361,1.353,0.143,1.136,2.128,3.587,0.627,1.858,0.264,3.231,1.728,1.934,1.586,1.436,3.447,1.937,3.699,2.161,2.555,3.75,0.228,2.478,7.259,0.019,3.151,0.036,0.713,1.776,2.582,0.668,1.536,0.729,0.01,4.059,0.281,2.509,0.587,0.7,1.914,1.134,1.984
"Roseburia faecis",2.465,0.073,0.053,0.101,0.112,0.015,0.041,9.396,1.462,2.503,0.591,0,4.212,0.045,0.033,0,0,1.246,1.31,5.632,2.006,0.053,0.092,0.873,3.444,0.242,3.121,1.289,1.789,4.307,5.939,2.39,0.024,0.372,1.811,1.936,4.398,2.035,0.596,0.15,1.871,0.038,3.862,6.46,3.136,0.222,2.932,0.358,0.297,2.44,0.605,0.56,0.089,5.621,1.02,0.186,0.605,3.325,0.087,0.545,4.238,0.129,6.514,4.755,2.263,0.647,0.029,2.054,0.193,0.029,1.467,0.455,0.726,0.845,0.165,0.687,4.865,0.097,10.711,0.12,0.181,0.927,0.077,0.636,3.269,0.157,3.571,0.08,5.608,2.577,3.588,0.843,0.037,0.032,2.988,0.084,0.963,8.005,0.29,0.025,0.631,2.758,0,1.32,0,6.181,0.049,0.357,0.919,0.03,0.639
"uncultured Roseburia sp.",1.007,0.189,0.234,0.215,0.902,0.171,0.143,0.129,0.297,0.102,0.102,0.138,1.476,0.224,0.059,0.062,0,0.514,0.246,0.211,0.25,1.334,0.787,0.27,0.691,0.162,0.189,0.373,0.45,0.914,0.207,1.189,0.213,0.086,0.14,0.265,0.318,0.513,0.367,0.052,0.117,0.053,0.602,0.199,0.313,0.171,0.324,0.659,0.143,0.216,0.281,0.099,0.212,0.193,0.126,0.212,0.194,0.2,0.086,0.478,0.423,0.222,0.711,0.199,0.178,0,0.205,0.129,0.59,0.145,0.124,1.042,0.069,0.084,0.267,0.297,0.151,0.924,0.538,0.105,0.078,0.449,0.046,0.132,0.849,0.256,0.737,0.203,0.557,0.401,0.276,0.675,0.157,0.188,0.181,0.152,0.359,0.804,0.466,0.05,0.601,0.276,0,0.175,0.025,0.43,0.467,0.104,0.163,0.043,0.549
"Roseburia sp. CAG:309",0.075,0,0,0,0,0,0,0,0.01,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0.043,0,0,0,0.023,0,0.011,0.011,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0.037,0,0,0,0,0,0,0,0,0
"Roseburia sp. CAG:197",0.02,0,0.041,0.741,0,0,0,0.065,0.026,0.016,0,0,0.027,0,0,0,0,0,0.008,0.027,0.019,0,0,0.007,0.028,0,0.021,0.015,0.014,0.022,0.027,0.024,0,0,0.185,0.015,0.025,0.009,0,0,0.031,0,0.015,0.031,0.027,0,0.019,0.012,0,0.02,0,0,0.019,0.046,0,0,0,0.021,0,0,0.029,0,0.026,0.037,0.02,0,0,0.012,0,0,0,0,0,0,0,0.01,0.018,0,0.098,0,0.417,0,0.008,0,0.015,0.017,0.02,0,0.023,0.011,0.018,0.008,0,0,0.016,0,0,0.033,0,0,0.01,0.023,0,0.008,0,0.034,0,0,0.014,0,0.008
"Roseburia inulinivorans",0.965,0.099,0.172,0.067,1.25,0.011,0.064,0.093,0.132,0.033,0.051,0.012,0.716,0.05,0.02,0,0,0.679,0.274,0.141,0.134,2.206,0.377,0.047,0.922,0.133,0.163,0.306,0.594,1.042,0.21,0.041,0.235,0.033,0.066,0.26,0.39,0.62,0.265,0.035,0.091,0.051,0.761,0.303,0.352,0.083,0.352,0.762,0.121,0.039,0.047,0.108,0.229,0.212,0.1,0.213,0.048,0.079,0.047,0.737,0.185,0.188,0.9,0.21,0.143,0,0.086,0.137,0.528,0.128,0.105,1.541,0.072,0.063,0.275,0.048,0.15,1.083,0.655,0.033,0.044,0.71,0.038,0.099,0.963,0.247,0.751,0.081,0.663,0.564,0.428,0.766,0.032,0,0.092,0.015,0.508,1.11,0.492,0.025,0.896,0.093,0,0.168,0,0.579,0.611,0.054,0.026,0.023,0.726
"Roseburia intestinalis",0.383,0.047,1.351,0.068,0.052,0.012,0.086,2.719,0.138,0.072,0.026,0.013,0.058,0.03,0.026,0,0,0.658,0.138,3.69,0.918,0.032,5.322,8.301,0.169,0.144,4.132,1.899,1.006,0.1,0.066,0.046,0.97,0.029,0.649,1.561,0.87,1.809,0.112,0.081,0.442,0,0.725,5.722,0.136,0.094,0.053,5.301,1.787,0.032,1.072,0.027,0.057,1.719,0.875,0.037,0.093,0.16,0.079,0.353,0.846,4.699,2.325,0.199,1.4,0.049,4.381,0.034,7.968,0.04,0.193,0.341,0.019,0.054,0.661,0.177,0.057,7.399,1.078,0.303,0.043,0.758,0.294,0.127,9.698,0.874,3.918,11.576,2.309,0.856,0.272,0.299,0.08,0,1.283,0.009,1.221,2.352,1.761,0.045,1.326,0.045,0,4.272,0.029,1.53,0.432,0.221,2.009,0.019,0.148
"Roseburia sp. AM23-20",0.043,0.023,0.144,0.023,0.072,0.023,0.029,0.269,0.331,0.021,0.013,0.017,0.031,0.026,0.008,0.033,0,0.071,0.043,0.333,0.076,0.046,0.51,0.813,0.03,0.02,0.457,0.173,0.086,0.03,0.018,0.041,0.094,0.012,0.057,0.13,0.091,0.163,0.015,0.066,0.053,0,0.065,0.459,0.029,0.021,0.028,0.427,0.133,0.022,0.125,0.014,0.016,0.14,0.098,0.022,0.025,0.042,0.042,0.027,0.083,0.371,0.256,0.034,0.139,0,0.496,0.013,0.6,0.016,0.023,0.047,0.008,0.011,0.059,0.041,0.021,0.656,0.12,0.029,0.023,0.082,0.035,0.025,1.077,0.124,0.305,0.846,0.178,0.075,0.03,0.031,0.01,0.072,0.149,0.012,0.141,0.259,0.159,0.038,0.131,0.018,0,0.408,0,0.133,0.064,0.021,0.147,0.008,0.028
"Roseburia sp. 831b",0.027,0,0.01,0.015,0.007,0,0.009,0.009,0.007,0,0,0,0.021,0,0,0,0,0.01,0,0.01,0,0.007,0.012,0.008,0,0,0.008,0.008,0.02,0.012,0.009,0.011,0,0,0.009,0.008,0.006,0.01,0,0.021,0.007,0,0,0.011,0.01,0.011,0.006,0.009,0,0,0,0,0.01,0.008,0,0,0,0.008,0.01,0,0.009,0.007,0.009,0,0.01,0,0,0,0.013,0,0,0,0,0,0,0.007,0.008,0.008,0.008,0,0.016,0,0.022,0.006,0.007,0.045,0.006,0.008,0.007,0,0.008,0.018,0,0,0.007,0,0.012,0.011,0.015,0,0.012,0.008,0,0.006,0,0.008,0,0.009,0,0,0.017
"Roseburia sp. AF12-17LB",0.029,0.026,1.994,0.026,0.028,0,0.026,0.058,0.156,0.01,0.008,0,0.029,0.011,0,0,0,0.011,0.024,0.028,0.011,0.011,0.015,0,0.014,0,0.185,0.027,0.144,0.077,0.52,0.015,0,0.105,2.147,0.082,0.039,0.142,0.048,0,0.029,0.212,0.029,0.024,0.122,0.245,0.027,0.011,0.135,0,0.008,0.02,0.014,0.043,0.034,0.339,0.311,2.114,0.007,0.017,0.08,0.018,0.024,0.037,0.019,0,0,0,0.024,0,0.034,0.204,0.066,0,0.037,0.038,0.025,0.017,0.064,0.01,0.022,0.013,0.012,0.024,0.012,0.03,0.013,0.01,0.016,0.013,0.029,0.025,0.008,0,0.042,0,3.561,0.049,0.028,0.018,1.57,0.078,0,0,0,0.494,0.008,3.33,0.059,0.008,0.039
"Roseburia sp.",0.026,0,0.076,0,0.012,0,0,0.116,0.018,0,0,0,0.009,0,0,0,0,0.024,0.01,0.131,0.046,0,0.252,0.498,0.014,0.008,0.151,0.078,0.04,0.021,0.008,0,0.039,0,0.025,0.058,0.036,0.071,0,0,0.02,0,0.033,0.243,0.007,0,0,0.259,0.065,0.007,0.041,0,0,0.081,0.036,0,0.007,0,0,0.017,0.036,0.175,0.107,0,0.048,0,0.171,0,0.372,0,0.008,0.017,0,0,0.029,0.01,0,0.327,0.043,0.017,0,0.035,0.014,0,0.346,0.06,0.152,0.448,0.091,0.04,0.013,0.012,0,0,0.056,0,0.049,0.102,0.08,0,0.052,0,0,0.163,0,0.064,0.021,0,0.087,0,0
"Roseburia sp. CAG:10041_57",0.019,0,0.015,0,1.946,0.006,0,0.008,0.399,0,0.493,0,0.008,0.011,0,0,0,0.009,0.01,0.006,0,0.008,0.013,0.008,0.007,0,0.015,0,0.009,0.009,0,0.119,0.008,0,0.019,0.007,0.012,0.017,0,0,0.011,0,0.119,0.06,0.02,0.067,0.007,0.013,0.012,0.008,0,0,0.008,0.008,0.006,0.01,0.007,0.007,0,0.02,0.092,0.025,0.01,0,1.605,0,0.016,0,0.034,0,0,0.012,0,0,0.008,0.009,0.006,0.057,0,0,0.011,0.007,0,0.008,0.04,0.015,0.013,0.018,0.015,0,0,0.011,0,0,0.037,0,0.012,0.019,0.011,0,0.152,0.216,0,0.011,0,0.007,0.006,0.01,0,0,0.013
"Roseburia sp. AM59-24XD",0.016,0.013,0.021,0.06,0,0.007,0.01,0.016,0.015,0.007,0,0,0.008,0.007,0,0,0,0,0.01,0.01,0.017,0,0.011,0.007,0.007,0,0.015,0,0.015,0.021,0.016,0.013,0.237,0,0.637,0.015,0.012,0.017,0,0.015,0.073,0,0.01,0.02,0.498,0.045,0.008,0.014,0.014,0.013,0,0.102,0,0.025,0.007,0.321,0.015,0.013,0.01,0.016,0.024,0.009,0.015,0,0.011,0,0,0,0.011,0,0,0,0,0,0.008,0.008,0.006,0.01,0.02,0,0.04,0.008,0,0,0.007,0.044,0,0,0.016,0,0.009,0.011,0,0,0.007,0,0.013,0.07,0.01,0,0.105,0.016,0,0,0,0.018,0,0.009,0,0,0.013
"Roseburia sp. 499",0.01,0,0.015,0.01,0.011,0,0.007,0,0.011,0,0,0.014,0.007,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0.009,0.009,0,0.006,0,0,0,0.01,0,0.009,0,0,0.026,0,0.007,0.012,0.014,0.01,0,0,0.035,0,0,0,0.008,0.007,0,0,0.007,0.007,0,0,0.012,0.01,0.007,0,0.008,0,0.016,0,0,0,0,0,0,0,0.008,0.01,0,0.006,0.01,0.03,0.009,0,0.015,0,0.007,0.021,0.008,0,0.02,0,0.009,0.026,0,0,0,0,0,0.007,0,0,0.008,0.011,0,0,0,0.014,0.008,0.006,0,0,0.009
"Roseburia sp. AM51-8",0.008,0.013,0.01,0.008,0.008,0,0.01,0,0.092,0.046,0,0,0.022,0.015,0,0,0,0,0.01,0.007,0.007,0.007,0.008,0,0,0,0.014,0.009,0.015,0.011,0,0.412,0.019,0.01,0.058,0.015,0.052,0.262,0.052,0,0.011,0,0,0.012,0.178,0.014,0.339,0.022,0.03,0,0.015,0,0,0.113,0.279,0.008,0.168,0.01,0,0,0,0.01,0.01,0,0.099,0,0,0,0.014,0,0,0,0,0,0.017,0.017,0,0.018,0,0.048,0.007,0,0.007,0.019,0.01,0.021,0,0.006,0,0,0,0.02,0.012,0,0.01,0.008,0.01,0.018,0,0,0.152,0.008,0,0.007,0,0,0,0.01,0,0,0.009
"Roseburia hominis",0.092,0.086,0.048,0.034,0.015,0,2.677,0.273,0.037,0.129,0.007,0,0.094,0.01,0,0,0,0.172,0.055,0.04,0.076,0.01,0.138,0.054,0.034,0,0.055,0.095,1.023,0.069,0.019,0.335,1.494,0.047,0.025,0.397,0.081,0.872,0.758,0.121,0.049,0.331,0.06,0.165,0.022,0.346,0.141,0.198,0.088,0.014,0.031,0.041,0.394,0.229,0.032,0.608,0.036,0.026,0.021,0.011,0.094,0.023,0.039,0,1.268,0,0.014,0.074,0.422,0.04,0.022,0.346,0.007,0.024,0.608,0.084,0.186,0.06,0.069,0.041,0.015,0.052,0.012,0.369,0.019,0.31,0.097,0.18,0.158,0.025,0.598,0.157,0.011,0.017,0.087,0,0.053,0.136,0.235,0.009,0.867,0.11,0,0.011,0.008,0.109,0.011,0.233,0.019,0,0.095
"uncultured Lachnobacterium sp.",4.243,1.081,0.81,0.956,1.157,0.198,0.5,3.46,1.029,1.381,0.501,0.107,2.802,0.874,0.098,0.042,0,0.414,1.726,2.589,1.235,0.385,1.406,0.597,1.378,0.209,2.455,0.971,1.91,4.229,2.185,1.628,0.124,0.268,0.827,1.019,1.744,0.818,0.386,0.334,1.613,0.118,1.573,3.052,2.077,0.567,1.409,0.43,0.268,0.931,0.398,0.437,1.099,2.455,1.076,0.371,0.724,4.527,0.239,0.573,1.713,0.85,2.952,1.985,1.012,0.323,0.137,0.934,1.696,0.105,0.742,0.491,0.3,0.477,0.305,1.928,1.844,0.391,3.741,0.273,2.548,0.732,1.587,1.73,1.3,1.362,1.598,0.392,2.602,0.909,1.389,1.579,0.487,0.176,2.852,0.11,0.594,3.826,1.12,0.143,1.078,1.394,0.019,0.835,0.028,2.062,0.223,1.233,0.455,0.112,1.564
"Coprococcus eutactus",1.572,0.385,0.772,0.053,0.01,0,5.131,0.048,0.023,0.031,0.009,0.008,0.931,0.022,0.009,0,0,0.041,0.014,0.015,0.013,0.033,0.021,0.021,0.024,0.01,0.035,0.036,7.694,0.095,9.982,0.027,10.685,0.017,1.178,3.183,0.681,0.024,0.78,0,7.195,0.022,0.095,0.035,0.009,0.44,5.966,0.016,0.122,0.01,0.018,0.115,0.991,0.095,0.019,5.045,2.023,0.025,2.404,0.009,0.028,0.042,0.058,0,0.012,0,0.012,0,0.103,0.012,0.594,0.028,0.293,0.535,0.028,0.013,0.017,0.043,0.019,0.028,0.274,0.015,0.02,0.024,0.011,0.035,0.008,0.02,0.019,0.014,0.431,1.87,0.023,0.014,0.048,0.018,0.016,0.019,0.058,0,0.048,1.935,0,0.008,0,4.316,0.013,0.083,0.012,0,5.424
"Coprococcus comes",1.479,0.805,0.308,0.568,0.044,0.029,0.889,0.322,0.061,0.139,0.013,0.019,0.027,4.14,0.014,0.019,0,2.806,0.452,0.398,1.534,0.046,0.063,0.049,0.018,0.007,0.577,0.859,0.591,0.81,0.039,0.521,0.769,0.025,0.672,0.611,0.445,0.665,0.726,1.458,0.335,0.054,0.653,0.26,0.637,0.909,0.28,1.37,0.516,0.017,0.021,0.162,0.44,0.403,0.373,0.922,0.894,1.35,0.833,0.221,0.329,1.626,0.73,0.381,0.054,0.053,0.016,0.263,1.73,1.38,0.416,8.054,0.104,0.209,0.62,0.038,0.018,0.384,0.889,1.622,0.028,0.728,0.199,0.643,1.497,0.55,0.015,0.025,0.02,1.145,0.717,0.787,0.48,0.028,0.847,0.016,0.695,0.029,0.028,0.017,0.663,0.235,0,1.002,0.093,0.033,0.012,1,0.016,0.394,0.022
"Coprococcus catus",0.337,0.301,0.248,0.304,0.02,0.017,0.426,0.137,0.157,0.559,0.011,0.009,0.294,0.19,0.008,0,0,0.736,0.851,0.02,0.017,0.143,0.031,0.02,0.3,0.047,0.266,0.426,0.292,0.275,0.626,0.284,0.128,0.182,0.261,0.329,0.142,0.393,0.329,0.397,0.262,0.5,0.191,0.031,0.125,0.169,0.24,0.226,0.228,0.013,0.031,0.164,0.22,0.155,0.19,0.38,0.281,0.298,0.022,0.025,0.303,0.03,0.03,0.117,0.015,0.099,0.018,0.03,0.043,0.028,0.111,0.941,0.018,0.299,0.768,0.136,0.369,0.135,0.128,0.529,0.443,0.155,0.267,0.34,0.027,0.306,0.015,0.027,0.094,0.34,0.39,0.246,0.297,0.027,0.179,0.015,0.261,0.252,0.059,0.02,0.203,0.154,0,0.009,0.024,0.115,0.018,0.485,0.013,0.008,0.019
"uncultured Coprococcus sp.",0.14,0.312,0.106,0.056,0.009,0,0.451,0.099,0.052,0.082,0.023,0,0.12,0.047,0,0,0,0.105,0.112,0.015,0.016,0.03,0.018,0.011,0.046,0.01,0.064,0.062,0.791,0.067,0.706,0.054,1.013,0.022,0.106,0.333,0.079,0.067,0.106,0.045,0.528,0.08,0.048,0.018,0.044,0.257,0.484,0.041,0.042,0.012,0.011,0.031,0.132,0.086,0.03,0.659,0.22,0.042,0.165,0.019,0.05,0.022,0.02,0.028,0.009,0,0,0.019,0.018,0.071,0.073,0.118,0.028,0.147,0.108,0.082,0.064,0.029,0.032,0.233,0.089,0.092,0.042,0.055,0.01,0.071,0.007,0.01,0.027,0.055,0.127,0.387,0.102,0,0.028,0,0.04,0.051,0.204,0.007,0.085,0.226,0,0.01,0.008,0.331,0.009,0.156,0.007,0,0.548
"Coprococcus sp. OM04-5BH",0.014,0.009,0.055,0.012,0,0.01,0.013,0.01,0,0,0,0.008,0.011,0.011,0,0,0,0.012,0.008,0.01,0.009,0.006,0.017,0.008,0.008,0,0.015,0,0.018,0.009,0.009,0.007,0,0,0.007,0.009,0.008,0.009,0,0,0.007,0,0,0,0.013,0,0.008,0.008,0,0,0,0,0.008,0.687,0,0.009,0.014,0.007,0,0,0.009,0.007,0.009,0,0.007,0,0.007,0,0.007,0,0,0,0,0,0,0.024,0.008,0.006,0.015,0,0,0,0.013,0.012,0.01,0.011,0.007,0.01,0.006,0,0.009,0.007,0,0,0.012,0,0,0,0,0,0.009,0.011,0,0,0,0.014,0,0.008,0,0,0.012
"Fusicatenibacter saccharivorans",3.108,2.347,2.425,4.537,0.019,0.027,1.599,1.357,0.73,1.508,1.453,0.057,5.757,3.676,0.052,0.009,0,0.027,0.023,1.356,7.312,0.048,2.885,0.065,2.917,0.584,1.536,0.892,0.66,1.732,0.693,1.355,0.172,0.672,1.384,1.24,2.105,1.031,0.091,0.736,1.373,0.618,1.55,4.657,0.168,0.262,1.002,2.053,1.558,4.349,1.623,0.474,1.214,2.509,1.082,3.498,1.46,2.044,5.429,0.28,3.551,0.076,5.965,0.575,0.416,0.203,0.017,0.182,1.701,0.48,0.743,1.179,0.15,0.622,4.143,0.377,0.688,2.704,1.259,1.533,1.255,1.339,0.008,1.413,1.462,2.483,0.021,0.026,2.668,1.783,0.541,1.595,3.47,0,2.862,0.277,0.649,2.777,2.871,0.055,0.447,0.22,0.011,0.959,0.018,2.53,0.027,1.013,0.014,0.703,2.113
"uncultured Lachnospiraceae bacterium",1.712,1.281,1.28,1.187,1.187,0.506,1.24,0.482,0.442,0.594,0.57,7.117,1.788,1.18,0.22,0.182,0,1.01,1.648,0.998,0.846,0.701,1.528,0.397,0.471,0.219,1.758,0.805,1.45,2.853,0.554,0.944,0.295,0.385,0.89,0.33,0.481,0.457,0.425,0.347,1.349,0.212,0.497,0.933,1.235,0.65,0.674,0.358,0.389,0.54,0.456,0.589,1.04,0.897,0.812,0.738,0.982,1.114,0.495,0.485,0.798,0.842,0.857,0.395,0.393,0.135,0.446,0.194,1.64,0.261,0.52,0.511,0.124,0.309,0.462,3.158,0.485,0.641,0.407,0.456,0.455,0.544,1.562,1.844,0.241,1.257,0.497,0.466,1.002,0.539,0.639,1.497,0.575,0.962,2.262,0.274,0.983,1.265,1.096,0.139,1.341,0.428,0.036,0.231,0.146,0.485,0.378,2.266,0.296,0.129,1.432
"Mediterraneibacter faecis",1.831,1.355,0.308,0.211,3.85,0.06,2.071,0.353,0.286,0.034,0.017,0.036,1.091,0.061,0.015,0.022,0,0.023,0.045,0.036,0.035,2.909,1.957,0.074,0.143,0.076,0.638,3.711,0.331,0.562,1.601,0.389,0.072,0.03,0.217,0.08,1.029,1.375,0.183,0.015,0.224,0.123,0.696,3.263,0.399,1.011,0.108,1.657,0.275,0.025,0.031,0.051,0.801,0.8,0.498,0.717,1.118,0.463,0.176,0.809,0.579,1.46,1.572,0.479,0.299,0.036,0.023,0.329,0.733,0.338,0.82,0.222,0.091,0.495,0.116,1.273,0.292,1.026,0.331,0.378,0.742,0.151,0.01,0.016,0.197,0.026,0.022,0.014,0.691,0.097,0.226,0.984,1.727,0.079,4.27,0.039,0.357,0.391,2.495,4.47,0.963,0.128,0.016,2.046,0.028,0.225,0.012,0.057,0.029,0.53,0.44
"Mediterraneibacter glycyrrhizinilyticus",0.057,0.014,0,0.011,0.007,0.231,0.013,0,0,0,0.045,0.441,0.007,0.066,0.009,0.006,0,0.091,0.008,0.044,0,0.056,0.026,0.109,0.049,0.014,0.007,0.145,0.025,0.025,0.007,0.008,0.007,0.022,0,0,0.007,0.009,0.011,0,0.009,0.009,0.008,0.011,0,0,0.01,0.009,0,0.063,0.223,0,0.015,0.009,0.054,0.012,0.019,0.031,0,0.019,0.008,0.019,0.031,0,0.026,0,0.075,0,0.021,0.043,0.015,0.022,0,0,0.018,0.09,0.008,0.008,0,0.012,0.008,0.014,0.051,0,0.008,0.017,0.014,0.065,0.012,0.025,0,0.025,0,0.114,0.013,0.009,0.024,0.014,0.077,0.009,0.012,0,0,0.007,0,0.013,0.13,0.014,0.051,0.069,0.034
